Code,Unhealthy_Days,ALE,All_Death,Health_Status
1,7.5,74.9,1041.5,21.8
2,6.7,76.6,856.9,15.4
3,NA,74.5,1019.4,21.4
4,NA,73.2,1050.5,19.4
5,7.9,76.1,954.2,25.8
6,NA,71.9,1107.6,NA
7,6.9,73,1084.2,21.6
8,8,73.1,1100.3,26.7
9,7.9,73.8,1075.6,32.3
10,8.8,75.3,999.3,NA
11,9.7,74.1,1040.4,26
12,NA,74.6,975.7,29.8
13,5.8,74,982,NA
14,7.1,74.9,950.3,NA
15,8,75.3,1072.8,NA
16,7.1,75.9,923.6,19.1
17,5.6,75.3,964.4,20.3
18,7.4,73,1093.6,19.1
19,4.9,74.9,909.2,18.3
20,5.2,74.7,999.7,22
21,NA,73.7,1058.7,NA
22,8.2,75.3,1028.7,23.8
23,5.8,75.5,987.4,23.9
24,7,72.1,1136,25.1
25,7.2,75.1,960.6,22
26,5.8,75.2,946.9,15.1
27,7.5,73.2,1042.6,31.2
28,8,73.5,1091.5,24.1
29,10,73.9,979.6,32.7
30,NA,73.6,1091.7,25
31,6.3,74.7,984.9,25.6
32,NA,72.7,1050.9,NA
33,6.9,72.7,1073,NA
34,5.5,74.5,961.4,NA
35,6.9,75.7,905,21.9
36,7.4,74.5,1027.6,22.6
37,6.3,73.6,1034.5,17.7
38,NA,73.9,1044.9,NA
39,7.4,76.4,910.9,23.4
40,7.5,74.3,1054.1,28.8
41,6.1,75.3,983.4,16.6
42,7.7,75.5,964.4,18
43,7.7,71.7,1075.8,NA
44,5.5,71.9,1091.8,22.8
45,6.3,76.1,905.8,13.7
46,9.3,74,1034.4,NA
47,6.4,73.9,999.8,27.7
48,8.2,73.9,1066.2,22.5
49,7,73.5,1030.7,19.2
50,6.5,74.7,957.4,11.7
51,6,74.6,974,16.3
52,6.9,75.2,968.7,18.3
53,NA,73.2,1173.9,NA
54,6.6,73.5,1040.1,20.7
55,6.7,73.7,1112.5,22
56,8.4,74.9,1000.4,17.3
57,7.5,72.1,1144.3,25.4
58,8,74.9,1059.4,25.2
59,6.1,76.8,923.4,9.9
60,6.6,73.5,1022.8,19.8
61,8.4,73.3,1090.6,24.6
62,7.4,73.9,1046.3,21.5
63,6.9,75,1026.2,17.9
64,9.5,72.2,1191.7,27.3
65,NA,74.6,993.7,NA
66,NA,71.7,1131.2,NA
67,9.5,73.5,1072.3,25.5
68,NA,76.9,620,NA
69,NA,76.9,1041.3,NA
70,NA,76.9,793.2,NA
71,NA,76.9,1001.7,NA
72,NA,76.9,991.4,NA
73,NA,76.9,NA,NA
