model_id,IC50_PUBLISHED
SIDM00003,345.8385335
SIDM00023,47.16895768
SIDM00040,NA
SIDM00041,NA
SIDM00042,1814.338105
SIDM00043,155.5101496
SIDM00044,109.4291163
SIDM00045,83.40597921
SIDM00046,519.8784322
SIDM00047,257.4153685
SIDM00048,604.9930679
SIDM00049,NA
SIDM00050,NA
SIDM00051,NA
SIDM00052,2534.609853
SIDM00053,289.7799958
SIDM00054,285.5308274
SIDM00055,517.5618319
SIDM00056,98.10251467
SIDM00064,214.8198994
SIDM00077,71.62935672
SIDM00078,68.58494157
SIDM00079,688.5142396
SIDM00080,68.47714226
SIDM00081,180.4574471
SIDM00082,106.2854076
SIDM00083,220.7648262
SIDM00084,269.3746065
SIDM00085,113.2156039
SIDM00086,1493.726077
SIDM00087,186.1187666
SIDM00088,243.2678258
SIDM00090,93.54223074
SIDM00091,1304.850821
SIDM00092,1771.657805
SIDM00094,75.27988744
SIDM00095,407.3113986
SIDM00096,206.9538869
SIDM00096,206.9538869
SIDM00097,302.7068968
SIDM00098,376.4145264
SIDM00099,230.6153105
SIDM00100,353.4984144
SIDM00101,5817.721679
SIDM00102,362.1248348
SIDM00103,373.1326551
SIDM00104,251.4642922
SIDM00105,121.5115111
SIDM00107,89.44661796
SIDM00108,288.0462334
SIDM00111,123.4238047
SIDM00112,164.0442158
SIDM00112,164.0442158
SIDM00113,70.59780123
SIDM00114,673.1121785
SIDM00115,171.8462188
SIDM00116,233.5333749
SIDM00117,525.5829355
SIDM00118,233.1726112
SIDM00119,512.9554504
SIDM00120,247.9747682
SIDM00121,108.3915355
SIDM00122,NA
SIDM00123,358.1650809
SIDM00124,485.2047661
SIDM00125,166.6491993
SIDM00126,NA
SIDM00127,99.13841451
SIDM00128,243.7901953
SIDM00129,152.8698644
SIDM00130,609.3860653
SIDM00131,765.8512804
SIDM00132,3648.286922
SIDM00133,228.5554842
SIDM00134,NA
SIDM00135,48.09758654
SIDM00136,1156.980647
SIDM00137,4010.447059
SIDM00138,227.9467388
SIDM00139,246.6728587
SIDM00140,NA
SIDM00142,80.61848777
SIDM00143,315.349012
SIDM00144,224.4372145
SIDM00145,137.4836499
SIDM00146,85.07787385
SIDM00148,100.0207836
SIDM00149,229.5380934
SIDM00150,216.0370671
SIDM00151,NA
SIDM00154,247.8721279
SIDM00155,32.6553271
SIDM00156,160.8075004
SIDM00157,65.36075488
SIDM00172,68.46324281
SIDM00174,93.01827693
SIDM00175,98.05347568
SIDM00176,339.7238222
SIDM00179,98.35211014
SIDM00180,295.3712383
SIDM00181,147.6829875
SIDM00182,35.1044534
SIDM00183,391.0240238
SIDM00184,3488.237942
SIDM00185,223.8915986
SIDM00186,92.45601334
SIDM00187,81.26334062
SIDM00188,119.8373013
SIDM00189,NA
SIDM00190,164.4670095
SIDM00191,166.495786
SIDM00193,61.67674775
SIDM00194,2867.936326
SIDM00195,95.08298152
SIDM00196,84.5589564
SIDM00197,196.2583689
SIDM00198,262.8924465
SIDM00199,118.8922951
SIDM00200,NA
SIDM00201,199.976728
SIDM00202,4516.54229
SIDM00203,NA
SIDM00205,300.3669819
SIDM00206,237.2098044
SIDM00207,300.5749078
SIDM00208,1599.19395
SIDM00209,292.4100213
SIDM00210,2890.934254
SIDM00211,85.2299587
SIDM00212,368.7942867
SIDM00213,NA
SIDM00214,141.1132839
SIDM00215,NA
SIDM00216,237.3291509
SIDM00217,806.1251473
SIDM00218,271.2635886
SIDM00220,318.7267014
SIDM00222,329.3131099
SIDM00223,171.5656513
SIDM00224,125.6013497
SIDM00225,284.4737551
SIDM00227,46.84653282
SIDM00230,149.7754242
SIDM00231,NA
SIDM00232,275.9006949
SIDM00233,88.05846774
SIDM00234,93.73118956
SIDM00235,98.25370893
SIDM00237,362.5498565
SIDM00238,192.1631979
SIDM00239,87.7726545
SIDM00240,343.460118
SIDM00241,68.9528543
SIDM00242,112.8377561
SIDM00243,98.26039041
SIDM00244,32.5282844
SIDM00245,285.8919665
SIDM00247,138.0483519
SIDM00249,161.9068225
SIDM00250,121.4907344
SIDM00251,175.1207962
SIDM00252,116.9810552
SIDM00253,38.49845074
SIDM00254,56.19984506
SIDM00255,83.58892205
SIDM00256,91.65357678
SIDM00257,45.69171544
SIDM00258,120.9477942
SIDM00259,274.7578049
SIDM00260,148.7339293
SIDM00261,2422.213329
SIDM00262,932.5306317
SIDM00263,NA
SIDM00264,1213.038927
SIDM00265,83.17493164
SIDM00266,350.4987009
SIDM00267,103.9258849
SIDM00269,235.047824
SIDM00270,178.87138
SIDM00271,88.56909661
SIDM00272,80.80040679
SIDM00273,94.60449587
SIDM00274,109.1257623
SIDM00276,84.61588374
SIDM00277,189.2933636
SIDM00278,100.7778914
SIDM00279,NA
SIDM00280,175.3380807
SIDM00281,69.03544028
SIDM00282,344.06514
SIDM00283,90.02388284
SIDM00284,111.1680477
SIDM00285,171.5862405
SIDM00286,NA
SIDM00287,NA
SIDM00289,86.60417287
SIDM00290,73.25862585
SIDM00291,285.1325044
SIDM00292,312.397995
SIDM00293,355.5767077
SIDM00294,268.818653
SIDM00296,288.2476481
SIDM00297,213.4797542
SIDM00299,277.1813541
SIDM00300,NA
SIDM00301,69.93309505
SIDM00302,218.3704647
SIDM00303,134.5173248
SIDM00304,212.7591979
SIDM00305,322.1966263
SIDM00306,266.3179778
SIDM00308,44.97222154
SIDM00309,285.6844843
SIDM00310,579.2863993
SIDM00311,347.0743423
