Code,FluB_Rpt,HepA_Rpt,HepB_Rpt,Meas_Rpt,Pert_Rpt,CRS_Rpt,Syphilis_Rpt,Pap_Smear,Mammogram,Proctoscopy,Pneumo_Vax,Flu_Vac,No_HS_Diploma,Unemployed,Sev_Work_Disabled,Major_Depression,Recent_Drug_Use,Ecol_Rpt,Salm_Rpt,Shig_Rpt,Toxic_Chem,No_Exercise,Few_Fruit_Veg,Obesity,High_Blood_Pres,Smoker,Diabetes,Uninsured,Elderly_Medicare,Disabled_Medicare,Prim_Care_Phys_Rate,Dentist_Rate,Total_Births,Total_Deaths,D_Hi_Suicide,D_Wh_HIV,D_Bl_HIV,D_Ot_HIV,D_Hi_HIV,D_Wh_Homicide,D_Bl_Homicide,D_Ot_Homicide,D_Hi_Homicide,E_Wh_Cancer,E_Bl_Cancer,E_Ot_Cancer,E_Hi_Cancer,E_Wh_HeartDis,E_Bl_HeartDis,E_Ot_HeartDis,E_Hi_HeartDis,F_Wh_HeartDis,F_Bl_HeartDis,F_Ot_HeartDis,F_Hi_HeartDis,F_Wh_Cancer,Population_Size,Population_Density,Poverty,Age_19_Under,Age_19_64,Age_65_84,Age_85_and_Over,White,Black,Native_American,Asian,Hispanic,A_Wh_Comp,A_Bl_Comp,A_Ot_Comp,A_Hi_Comp,A_Wh_BirthDef,A_Bl_BirthDef,A_Ot_BirthDef,A_Hi_BirthDef,B_Wh_Injury,B_Bl_Injury,B_Ot_Injury,B_Hi_Injury,B_Wh_Cancer,B_Bl_Cancer,B_Ot_Cancer,B_Hi_Cancer,B_Wh_Homicide,B_Bl_Homicide,B_Ot_Homicide,B_Hi_Homicide,C_Wh_Injury,C_Bl_Injury,C_Ot_Injury,C_Hi_Injury,C_Wh_Homicide,C_Bl_Homicide,C_Ot_homicide,C_Hi_Homicide,C_Wh_Suicide,C_Bl_Suicide,C_Ot_Suicide,C_Hi_Suicide,C_Wh_Cancer,C_Bl_Cancer,C_Ot_Cancer,C_Hi_Cancer,D_Wh_Injury,D_Bl_Injury,D_Ot_Injury,D_Hi_Injury,D_Wh_Cancer,D_Bl_Cancer,D_Ot_Cancer,D_Hi_Cancer,D_Wh_HeartDis,D_Bl_HeartDis,D_Ot_HeartDis,D_Hi_HeartDis,D_Wh_Suicide,D_Bl_Suicide,D_Ot_Suicide,F_Bl_Cancer,F_Ot_Cancer,F_Hi_Cancer,LBW,VLBW,Premature,Under_18,Over_40,Unmarried,Late_Care,Infant_Mortality,IM_Wh_Non_Hisp,IM_Bl_Non_Hisp,IM_Hisp,IM_Neonatal,IM_Postneonatal,Brst_Cancer,Col_Cancer,CHD,Homicide,Lung_Cancer,MVA,Stroke,Suicide,Injury
1,0,1,2,0,3,0,8,NA,NA,NA,NA,NA,6690,774,1727,2680,2394,2,50,4,2883197,27.8,78.6,24.5,29.1,26.6,14.2,5690,4762,1209,45.3,22.6,3048,1867,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,23,NA,NA,23,30,NA,NA,32,38,NA,NA,20,48612,82,10.4,26.9,62.3,9.8,0.9,80.7,17.3,0.5,0.6,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,24,NA,NA,NA,18,NA,NA,22,12,NA,NA,14,NA,NA,19,NA,NA,8.1,1.6,14.3,5.1,1.4,28,12.9,5.9,4.2,13,NA,3,3,34.1,15.9,172.4,6.7,65.3,27.3,73.9,16.6,23
2,0,2,17,0,0,0,0,86.1,82,44.1,58.7,61.8,20254,2533,4933,9354,7753,2,99,41,35664,27.2,76.2,23.6,30.5,24.6,7.2,19798,22635,3839,67,30.8,5471,4388,NA,NA,NA,NA,NA,NA,21,NA,NA,37,28,NA,NA,22,33,NA,NA,30,32,NA,NA,23,162586,102,10.2,23.5,60.3,14.5,1.8,88.4,9.9,0.5,0.4,2.3,57,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,13,NA,NA,11,NA,NA,NA,16,18,NA,NA,13,NA,NA,20,NA,NA,8.6,1.9,15.3,4.3,1.9,25.4,15.3,7.1,5.7,13.5,NA,5.7,1.5,22.5,15.3,156.5,5.4,62.1,25.1,48.7,14.3,30.1
3,0,2,0,0,0,0,6,NA,NA,NA,NA,NA,6729,569,1302,1618,1403,0,53,1,49874,NA,NA,25.6,NA,17.7,6.6,5126,3288,1092,45.8,24.6,1835,1538,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,26,NA,NA,29,35,NA,NA,33,29,NA,NA,20,28414,32,22.1,24.3,62.5,11.6,1.6,52.2,46.8,0.4,0.3,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,19,NA,NA,21,NA,NA,NA,11,25,NA,NA,18,NA,NA,26,NA,NA,11,1.9,16.7,7.7,1.1,50.2,26,7.1,5.5,9.4,NA,5.4,1.6,30.5,23.4,95.3,11.8,70.6,26.2,84.5,10.3,29.6
4,0,2,4,0,3,0,2,NA,NA,NA,NA,NA,5355,358,900,1218,1034,2,9,3,7302,NA,86.6,NA,NA,NA,13.1,3315,2390,974,41.8,18.6,2801,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,29,NA,NA,23,29,NA,NA,31,26,NA,NA,18,21516,35,16.8,24.6,63.3,10.9,1.2,76.8,22.5,0.3,0.1,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,29,24,NA,NA,16,21,NA,NA,13,18,NA,NA,12,NA,NA,20,NA,NA,8.7,1.7,13.7,6.5,0.9,30.2,16.3,9.8,9.2,12.2,NA,7.1,2.7,30.1,17.4,184.7,8,64.6,35.4,144.6,14.8,30
5,2,3,3,0,3,0,0,87.2,NA,NA,NA,NA,11181,819,2217,3164,2675,1,25,11,889020,33.5,74.6,24.2,NA,23.6,8.4,8131,5019,1300,16.2,10.8,3318,2453,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,NA,NA,NA,23,NA,NA,NA,34,36,NA,NA,20,55725,86,11.9,24.5,62.1,12.1,1.3,97.1,1.5,0.5,0.2,6.3,34,NA,NA,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,16,NA,NA,NA,18,NA,NA,NA,13,NA,NA,28,NA,NA,7.6,1.5,12.8,5,1.3,19.3,16.7,9,7.5,NA,10.9,5.4,3.6,30.2,16.8,148.2,5.3,71.7,27.4,47.3,14.4,24.4
6,0,1,1,0,0,0,4,NA,NA,NA,NA,NA,2848,327,448,626,565,0,17,7,NA,NA,NA,NA,NA,NA,NA,2295,1433,504,54.3,18.1,1604,1381,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,26,NA,NA,31,33,NA,NA,39,33,NA,NA,16,11055,18,26.2,24.7,63.2,10,2.2,27.8,71.4,0.4,0.2,5.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,22,NA,NA,10,NA,NA,NA,15,20,NA,NA,NA,NA,NA,20,NA,NA,13.7,2.8,22.6,10.8,1.2,66.6,34.4,13.3,NA,13.3,NA,7,6.3,30.4,23,221.4,10.7,49.9,52.2,67.8,NA,34.2
7,0,0,5,0,0,0,7,NA,NA,NA,NA,NA,4363,537,976,1164,1029,0,23,5,98136,24.5,NA,22,NA,27.3,9.5,4055,3150,952,43.3,19.3,2874,2857,NA,NA,NA,NA,NA,NA,16,NA,NA,35,18,NA,NA,30,34,NA,NA,42,45,NA,NA,17,20766,27,20,25.6,58.5,13.6,2.4,57.5,41.9,0.2,0.3,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,20,NA,NA,NA,13,NA,NA,13,23,NA,NA,NA,NA,NA,NA,33,22,NA,NA,12,10,NA,NA,18,18,NA,NA,NA,NA,NA,19,NA,NA,9.8,1.8,15.7,9,1.2,50.2,20.3,5.8,3.3,7.2,NA,3.1,2.7,20.5,17.8,229,17.3,52.5,37.7,84.5,11.9,30.5
8,1,2,7,0,0,0,7,82.7,76.5,46.2,57.3,56.2,19546,2182,5722,6400,5545,0,31,33,808521,29.2,81.9,27,33.2,25.5,11.2,16456,16440,5301,75.8,41.9,4429,3915,NA,NA,NA,NA,NA,NA,24,NA,NA,28,23,NA,NA,28,37,NA,NA,34,30,NA,NA,19,112141,184,16.4,24.1,61.6,12.7,1.5,78.3,19.7,0.4,0.8,2,36,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,33,13,NA,NA,NA,11,NA,NA,15,24,NA,NA,NA,NA,NA,20,NA,NA,9,1.9,14.1,4.8,0.8,26.3,12.1,9.5,7.2,17.3,NA,6.1,3.4,26.4,18.4,189.3,8.6,73.5,25.5,79.2,13.6,27.4
9,0,2,0,1,0,0,1,87.9,NA,NA,NA,NA,8718,849,1470,2005,1647,0,32,1,276636,34.7,84.6,NA,NA,11.7,17.1,5533,5473,1497,53.6,22.6,2271,2424,NA,NA,NA,NA,NA,NA,12,NA,NA,30,29,NA,NA,30,34,NA,NA,31,33,NA,NA,18,35460,59,16.2,24.8,59.5,13.5,2.2,60.8,38.6,0.1,0.2,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,22,NA,NA,12,17,NA,NA,18,22,NA,NA,15,NA,NA,19,NA,NA,9.3,2,15.2,7.3,0.9,49.4,17.6,7.5,5.5,10.2,NA,5.3,2.2,25.3,13.8,110.8,8.2,63.1,27.9,97.6,12.8,26.8
10,1,0,2,0,0,0,1,NA,NA,NA,NA,NA,6398,464,1154,1436,1140,1,6,6,7077,NA,NA,NA,NA,23.6,13.3,3583,3086,854,28.5,12.2,2659,2609,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,29,NA,NA,32,33,NA,NA,34,31,NA,NA,21,24522,44,15.2,21.9,61.4,15.2,1.4,93.3,5.5,0.3,0.3,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,31,NA,NA,NA,12,NA,NA,NA,26,NA,NA,NA,11,NA,NA,20,NA,NA,8.4,1.2,12.2,7.6,0.9,26.1,14.1,7.4,6.3,NA,NA,3.7,3.7,11,15.3,160.4,NA,54.1,32.7,59,17.7,27
