model_id,ANKH,ANXA1,CYCSP46,DUSP22,EYA1,FAM49A,GAPDHP17,LCE3C,MCCD1P1,OR2T11,OR4V1P,OR52N5,RALGAPA2,RASSF8,RNA18S5,RNU7-41P,RNU7-71P,RNU7-77P,RPL21P44,RPS4Y2,SIRPB1,SLC1A2,TCP10L2,TFEC,TMPRSS4,TPCN2,TRIB2,TRQ-CTG11-1,TTLL13P,TYMSOS,UGT2B17,VGLL3,VOPP1,ZDHHC21,ZNF74,ZNF275,ZNF532,ZNF624,ZNF639,ZNF684,ZNF962P,ZPBP2
SIDM00003,3,3,3,3,4,3,3,2,2,5,3,2,3,4,2,4,4,2,3,2,3,4,3,3,3,3,2,4,2,3,3,3,3,3,0,0,0,0,0,0,4,2
SIDM00023,5,4,3,3,2,2,2,3,3,4,3,2,3,2,2,4,3,2,3,2,3,3,4,3,4,4,4,4,4,3,3,3,3,2,2,0,3,4,2,2,4,0
SIDM00040,4,3,5,2,2,4,0,3,2,3,3,2,2,4,2,3,2,2,2,2,3,3,2,3,4,3,3,3,2,2,2,3,3,3,0,0,0,4,3,0,4,2
SIDM00041,4,4,3,4,3,3,3,5,5,4,3,3,4,3,4,4,4,4,3,3,4,5,4,3,3,5,4,4,3,4,4,4,4,4,0,0,4,3,3,0,3,2
SIDM00042,6,4,4,4,8,6,5,4,2,3,5,3,9,8,4,5,3,3,4,3,4,6,6,5,6,5,6,4,5,4,5,2,4,5,0,0,11,5,5,0,8,4
SIDM00043,4,3,2,3,5,3,4,3,4,2,4,3,3,3,2,3,3,3,3,2,2,4,4,3,4,5,3,4,4,2,2,3,4,4,0,3,3,4,4,2,5,2
SIDM00044,4,2,9,4,3,3,2,2,2,3,2,2,3,8,2,2,3,2,2,2,3,4,1,2,2,5,2,3,4,3,3,3,3,3,1,0,3,2,3,0,3,4
SIDM00045,5,4,3,3,4,14,0,1,3,4,2,3,3,3,3,3,3,3,2,2,2,4,2,4,4,3,4,14,2,2,2,3,3,3,0,0,3,2,2,0,4,0
SIDM00046,7,2,1,3,5,3,3,3,3,6,1,2,3,2,2,4,2,4,3,1,1,5,2,2,3,14,4,2,4,2,2,3,2,3,0,0,3,4,3,0,2,2
SIDM00047,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,3,2,2,2,3,2,2,2,3,2,2,0,0,0,2,2,0,2,3
SIDM00048,2,2,2,2,2,3,2,1,2,1,3,2,3,2,1,2,2,1,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,2,0,0,0,3,3,0,2,2
SIDM00049,5,2,5,4,6,2,4,5,5,4,2,2,3,5,3,3,3,2,3,3,4,4,6,3,5,14,4,4,4,4,4,0,3,3,0,0,4,2,2,0,5,3
SIDM00050,4,2,3,2,3,3,3,2,4,4,3,2,3,3,2,2,4,3,3,3,3,3,2,4,3,4,2,2,5,3,3,4,3,3,0,0,0,3,3,2,3,4
SIDM00051,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,2,2,2,0,2,2
SIDM00052,5,2,2,3,2,2,3,2,3,2,2,3,3,4,2,2,3,2,3,1,2,3,2,3,3,4,2,2,1,2,2,3,3,3,0,0,3,3,2,0,2,2
SIDM00053,5,3,4,4,5,5,4,5,5,5,6,4,9,2,5,3,3,5,4,2,2,6,3,5,5,5,6,5,3,3,3,0,3,2,0,0,8,6,6,0,3,4
SIDM00054,10,4,5,7,6,5,0,5,6,14,3,7,5,6,6,5,6,7,5,6,5,6,6,7,5,8,5,5,4,6,5,7,6,7,0,0,7,5,5,0,12,1
SIDM00055,7,4,2,4,3,3,2,1,8,4,2,3,7,3,2,4,3,2,2,3,4,4,3,4,2,5,3,4,2,3,3,5,2,2,0,0,4,3,3,0,3,2
SIDM00056,4,4,4,0,5,5,4,4,5,4,5,4,4,4,4,4,4,2,3,2,4,4,4,5,5,4,4,4,5,4,4,4,4,4,0,0,0,5,5,0,5,4
SIDM00064,2,5,3,2,4,3,3,2,3,2,4,2,4,3,4,2,3,2,4,2,3,2,0,3,4,2,2,2,2,3,3,3,2,3,0,0,0,0,3,0,4,2
SIDM00077,2,2,2,2,2,2,2,1,3,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,4,2,2,2,1,1,2,2,2,0,0,2,2,1,0,2,2
SIDM00078,4,4,3,3,3,3,3,2,3,3,2,3,3,4,4,2,3,2,3,2,2,4,4,5,5,3,4,3,3,3,3,3,3,3,1,1,1,3,3,1,7,3
SIDM00079,4,4,4,4,4,4,4,2,4,3,4,4,6,4,4,5,4,4,2,4,4,4,4,6,4,2,4,4,3,3,3,4,4,4,0,0,0,5,4,0,6,4
SIDM00080,7,3,2,4,4,4,3,2,5,6,2,3,4,3,2,4,3,2,3,2,4,3,4,4,8,6,3,3,2,4,4,6,4,5,0,0,0,2,3,0,4,0
SIDM00081,4,3,3,4,6,6,4,3,4,5,2,4,5,3,3,6,5,2,4,3,4,6,3,4,6,4,3,7,3,5,5,5,4,4,0,2,2,3,6,0,6,1
SIDM00082,1,2,2,2,2,2,2,2,2,3,1,2,2,2,2,1,2,2,1,2,3,3,1,3,4,3,2,2,2,2,2,2,2,2,1,0,2,1,2,0,2,2
SIDM00083,3,3,3,4,4,2,4,3,4,3,2,1,3,2,3,3,4,2,3,2,4,5,3,3,2,5,3,3,2,3,3,4,3,3,0,0,0,2,2,0,3,2
SIDM00084,4,4,2,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,2,3,2,3,2,3,3,3,0,0,0,0,2,0,3,3
SIDM00085,3,2,2,3,3,4,3,1,2,3,3,3,3,2,2,2,3,2,3,2,2,2,3,3,3,3,2,2,1,3,2,3,2,3,0,0,6,2,4,0,3,2
SIDM00086,4,3,4,3,4,3,3,2,3,4,3,2,3,4,2,3,3,2,2,3,2,2,3,2,3,4,2,3,0,4,4,3,2,2,0,0,3,2,3,0,5,2
SIDM00087,2,4,2,0,3,2,4,2,2,4,4,3,3,3,2,1,4,2,2,3,3,6,2,3,4,4,2,4,3,3,3,4,2,5,0,0,4,4,0,0,3,4
SIDM00088,5,4,9,7,4,5,4,3,6,6,5,4,7,5,4,3,4,4,3,4,5,4,4,3,5,6,5,3,3,4,4,2,4,4,0,0,0,5,5,0,6,5
